CARRIER,1(a),1(b),2(a),2(b),2(c),3,4,5,6,7,year,quarter,1,2,perc_denied_boarding,perc_denied_boarding_involuntary,perc_denied_boarding_voluntary,total_denials,cash_per_vol_denial,date
Alaska Airlines,0.0,107.0,0.0,44.0,7.0,158.0,107.0,2498.0,7612627.0,0.0,2019,Q1 2019,107.0,51.0,0.0349,0.002075,0.032814,2656.0,0.0,2019-01-01
Allegiant Airlines,0.0,0.0,0.0,434.0,76.0,510.0,0.0,34.0,3473390.0,0.0,2019,Q1 2019,0.0,510.0,0.0157,0.014683,0.000979,544.0,0.0,2019-01-01
American Airlines,25.0,955.0,0.0,727.0,17.0,1724.0,1707.0,28362.0,33083888.0,0.0,2019,Q1 2019,980.0,744.0,0.0909,0.005211,0.085728,30086.0,0.0,2019-01-01
Delta Air Lines,1.0,0.0,0.0,0.0,0.0,1.0,1.0,28276.0,32597931.0,0.0,2019,Q1 2019,1.0,0.0,0.0867,3e-06,0.086742,28277.0,0.0,2019-01-01
Endeavor Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4432.0,3113553.0,0.0,2019,Q1 2019,0.0,0.0,0.1423,0.0,0.142345,4432.0,0.0,2019-01-01
Envoy Air,1.0,104.0,0.0,385.0,0.0,490.0,490.0,3807.0,3137713.0,0.0,2019,Q1 2019,105.0,385.0,0.1369,0.015616,0.12133,4297.0,0.0,2019-01-01
ExpressJet Airlines,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1470.0,1454843.0,0.0,2019,Q1 2019,0.0,1.0,0.1011,6.9e-05,0.101042,1471.0,0.0,2019-01-01
Frontier Airlines,0.0,81.0,0.0,73.0,14.0,168.0,59.0,587.0,5128189.0,989.0,2019,Q1 2019,81.0,87.0,0.0147,0.003276,0.011447,755.0,1.68,2019-01-01
Hawaiian Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,2615452.0,400.0,2019,Q1 2019,0.0,0.0,0.0028,0.0,0.002753,72.0,5.56,2019-01-01
JetBlue Airways,0.0,23.0,0.0,0.0,0.0,23.0,23.0,721.0,9061253.0,451304.0,2019,Q1 2019,23.0,0.0,0.0082,0.000254,0.007957,744.0,625.94,2019-01-01
Mesa Airlines,0.0,24.0,0.0,461.0,0.0,485.0,485.0,3864.0,3288521.0,0.0,2019,Q1 2019,24.0,461.0,0.1322,0.014748,0.1175,4349.0,0.0,2019-01-01
PSA Airlines,1.0,75.0,0.0,184.0,7.0,267.0,260.0,3166.0,3412630.0,0.0,2019,Q1 2019,76.0,191.0,0.1006,0.007824,0.092773,3433.0,0.0,2019-01-01
Republic Airline,1.0,67.0,0.0,12.0,0.0,80.0,80.0,3713.0,4183267.0,0.0,2019,Q1 2019,68.0,12.0,0.0907,0.001912,0.088758,3793.0,0.0,2019-01-01
SkyWest Airlines,2.0,80.0,1.0,150.0,0.0,233.0,231.0,7163.0,8697930.0,0.0,2019,Q1 2019,82.0,151.0,0.085,0.002679,0.082353,7396.0,0.0,2019-01-01
Southwest Airlines,334.0,1260.0,0.0,0.0,0.0,1594.0,1594.0,9996.0,37409141.0,0.0,2019,Q1 2019,1594.0,0.0,0.031,0.004261,0.026721,11590.0,0.0,2019-01-01
Spirit Airlines,5.0,21.0,0.0,20.0,0.0,46.0,26.0,6768.0,7265473.0,0.0,2019,Q1 2019,26.0,20.0,0.0938,0.000633,0.093153,6814.0,0.0,2019-01-01
United Air Lines,0.0,7.0,0.0,0.0,10.0,17.0,7.0,8856.0,22660404.0,0.0,2019,Q1 2019,7.0,10.0,0.0392,7.5e-05,0.039081,8873.0,0.0,2019-01-01
Alaska Airlines,0.0,107.0,0.0,36.0,12.0,155.0,107.0,3188.0,9035684.0,0.0,2019,Q2 2019,107.0,48.0,0.037,0.001715,0.035282,3343.0,0.0,2019-04-01
Allegiant Airlines,0.0,0.0,0.0,123.0,0.0,123.0,0.0,25.0,4198976.0,0.0,2019,Q2 2019,0.0,123.0,0.0035,0.002929,0.000595,148.0,0.0,2019-04-01
American Airlines,44.0,1227.0,0.0,1999.0,28.0,3298.0,3270.0,41562.0,36110590.0,0.0,2019,Q2 2019,1271.0,2027.0,0.1242,0.009133,0.115096,44860.0,0.0,2019-04-01
Delta Air Lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32820.0,39153662.0,0.0,2019,Q2 2019,0.0,0.0,0.0838,0.0,0.083824,32820.0,0.0,2019-04-01
Endeavor Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8011.0,3767698.0,0.0,2019,Q2 2019,0.0,0.0,0.2126,0.0,0.212623,8011.0,0.0,2019-04-01
Envoy Air,5.0,96.0,0.0,428.0,8.0,537.0,529.0,4439.0,3751462.0,0.0,2019,Q2 2019,101.0,436.0,0.1326,0.014314,0.118327,4976.0,0.0,2019-04-01
ExpressJet Airlines,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1522.0,1257349.0,0.0,2019,Q2 2019,1.0,0.0,0.1211,8e-05,0.121048,1523.0,0.0,2019-04-01
Frontier Airlines,0.0,96.0,0.0,82.0,6.0,184.0,98.0,838.0,5128189.0,1852.0,2019,Q2 2019,96.0,88.0,0.0199,0.003588,0.016341,1022.0,2.21,2019-04-01
Hawaiian Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,2742590.0,0.0,2019,Q2 2019,0.0,0.0,0.0014,0.0,0.001422,39.0,0.0,2019-04-01
JetBlue Airways,0.0,5.0,0.0,2.0,0.0,7.0,5.0,641.0,9851842.0,404614.0,2019,Q2 2019,5.0,2.0,0.0066,7.1e-05,0.006506,648.0,631.22,2019-04-01
Mesa Airlines,1.0,20.0,0.0,293.0,0.0,314.0,314.0,2836.0,3589375.0,0.0,2019,Q2 2019,21.0,293.0,0.0878,0.008748,0.079011,3150.0,0.0,2019-04-01
PSA Airlines,3.0,117.0,0.0,367.0,0.0,487.0,487.0,4264.0,3905385.0,0.0,2019,Q2 2019,120.0,367.0,0.1217,0.01247,0.109183,4751.0,0.0,2019-04-01
Republic Airline,6.0,117.0,0.0,39.0,0.0,162.0,162.0,6321.0,5010539.0,0.0,2019,Q2 2019,123.0,39.0,0.1294,0.003233,0.126154,6483.0,0.0,2019-04-01
SkyWest Airlines,1.0,84.0,0.0,124.0,4.0,213.0,209.0,17228.0,10320910.0,0.0,2019,Q2 2019,85.0,128.0,0.169,0.002064,0.166923,17441.0,0.0,2019-04-01
Southwest Airlines,233.0,698.0,0.0,0.0,0.0,931.0,931.0,12368.0,42176361.0,0.0,2019,Q2 2019,931.0,0.0,0.0315,0.002207,0.029324,13299.0,0.0,2019-04-01
Spirit Airlines,5.0,139.0,0.0,5.0,0.0,149.0,144.0,5642.0,8335320.0,0.0,2019,Q2 2019,144.0,5.0,0.0695,0.001788,0.067688,5791.0,0.0,2019-04-01
United Air Lines,1.0,6.0,0.0,12.0,9.0,28.0,19.0,11394.0,27015815.0,0.0,2019,Q2 2019,7.0,21.0,0.0423,0.000104,0.042175,11422.0,0.0,2019-04-01
Alaska Airlines,0.0,65.0,0.0,16.0,11.0,92.0,65.0,2730.0,9563449.0,0.0,2019,Q3 2019,65.0,27.0,0.0295,0.000962,0.028546,2822.0,0.0,2019-07-01
Allegiant Airlines,0.0,0.0,0.0,2.0,0.0,2.0,0.0,135.0,3836145.0,0.0,2019,Q3 2019,0.0,2.0,0.0036,5.2e-05,0.003519,137.0,0.0,2019-07-01
American Airlines,21.0,832.0,0.0,997.0,40.0,1890.0,1850.0,25733.0,36283824.0,0.0,2019,Q3 2019,853.0,1037.0,0.0761,0.005209,0.070921,27623.0,0.0,2019-07-01
Delta Air Lines,0.0,1.0,0.0,0.0,2.0,3.0,1.0,24642.0,40050497.0,0.0,2019,Q3 2019,1.0,2.0,0.0615,7e-06,0.061527,24645.0,0.0,2019-07-01
