tbl,year,quarter,citymarketid,cityname,airportid,apt,TotalMkts,TotalFaredPax,TotalPerLFMkts,TotalAvgHubFare,TotalPerPrem,SHMkts,SHPax,SHPerLFMkts,SHAvgHubFare,SHPerPrem,LHMkts,LHPax,LHPerLFMkts,LHAvgHubFare,LHPerPrem,tbl7pk
Table 7,1997,4,30980,"Chattanooga, TN",10980,CHA,30,627200,0,192.61,0.0439,17,450200,0,167.52,-0.0802,13,177000,0,256.43,0.3454,1997410980CHA
Table 7,2003,2,30581,"Bangor, ME",10581,BGR,16,280100,0,188.4,0.0015,11,129100,0,229.27,0.4005,5,151000,0,153.46,-0.2658,2003210581BGR
Table 7,2000,4,34262,"Palm Springs, CA",14262,PSP,43,1928000,0,207.85,-0.0058,6,419500,0,127.87,-0.1203,37,1508500,0,230.1,0.0146,2000414262PSP
Table 7,2014,4,30285,"Durango, CO",11413,DRO,22,418500,0.4829,258.79,0.3112,8,276500,0.6488,226.22,0.487,14,142000,0.1599,322.21,0.1287,2014411413DRO
Table 7,2016,2,30627,"Bismarck/Mandan, ND",10627,BIS,29,732400,0.5844,221.73,-0.1009,4,190600,0.4266,242.15,0.3188,25,541800,0.6399,214.55,-0.2018,2016210627BIS
Table 7,2016,1,34082,"Punta Gorda, FL",14082,PGD,28,2489500,1,113.27,-0.4724,3,148600,1,83.07,-0.6334,25,2340900,1,115.18,-0.4616,2016114082PGD
Table 7,2018,1,30792,"Buffalo, NY",10792,BUF,66,7920700,0.8618,191.29,-0.0889,29,2930500,0.6978,174.16,-0.0322,37,4990200,0.9581,201.35,-0.1152,2018110792BUF
Table 7,2014,3,31057,"Charlotte, NC",11057,CLT,125,22936900,0.4128,246.1,0.1275,81,15767500,0.3782,218.22,0.102,44,7169400,0.4888,307.4,0.17,2014311057CLT
Table 7,2006,1,31921,"Grand Junction, CO",11921,GJT,13,209900,0.1129,224.28,-0.0543,9,164900,0,208.38,-0.1167,4,45000,0.5267,282.54,0.1692,2006111921GJT
Table 7,2011,3,31895,"Great Falls, MT",12003,GTF,17,392300,0,184.78,-0.0928,2,91200,0,242.97,0.5822,15,301100,0,167.16,-0.2362,2011312003GTF
Table 7,2014,3,35096,"Syracuse, NY",15096,SYR,62,3523300,0.5182,246.45,-0.0026,23,1195600,0.3794,210.13,0.0411,39,2327700,0.5895,265.1,-0.0193,2014315096SYR
Table 7,2008,4,30990,"Charlottesville, VA",10990,CHO,25,322600,0,241.41,0.0568,14,224400,0,219.8,0.0605,11,98200,0,290.8,0.0506,2008410990CHO
Table 7,2014,4,34699,"Steamboat Springs, CO",12094,HDN,8,110300,0,365.2,0.9328,,,,,,8,110300,0,365.2,0.9328,2014412094HDN
Table 7,2006,1,32206,"Harlingen/San Benito, TX",12206,HRL,30,1696900,0.9587,138.04,-0.2193,9,1051500,0.9597,114.34,-0.278,21,645400,0.9571,176.66,-0.1462,2006112206HRL
