,CARRIER,1(a),1(b),2(a),2(b),2(c),3,4,5,6,7,year,quarter,1,2,perc_denied_boarding,perc_denied_boarding_involuntary,perc_denied_boarding_voluntary,date
15,Spirit Airlines,5.0,21.0,0.0,20.0,0.0,46.0,26.0,6768.0,7265473.0,0.0,2019,Q1 2019,26.0,20.0,0.09380000000000001,0.0006000000000000001,0.0932,2019-01-01
16,United Air Lines,0.0,7.0,0.0,0.0,10.0,17.0,7.0,8856.0,22660404.0,0.0,2019,Q1 2019,7.0,10.0,0.0392,9.999999999999999e-05,0.0391,2019-01-01
0,Alaska Airlines Codeshare,0.0,107.0,0.0,36.0,12.0,155.0,107.0,3188.0,9035684.0,0.0,2019,Q2 2019,107.0,48.0,0.037,0.0017,0.0353,2019-04-01
1,Allegiant Air,0.0,0.0,0.0,123.0,0.0,123.0,0.0,25.0,4198976.0,0.0,2019,Q2 2019,0.0,123.0,0.0034999999999999996,0.0029,0.0006000000000000001,2019-04-01
2,American Airlines,44.0,1227.0,0.0,1999.0,28.0,3298.0,3270.0,41562.0,36110590.0,0.0,2019,Q2 2019,1271.0,2027.0,0.1242,0.0091,0.1151,2019-04-01
3,Delta Air Lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32820.0,39153662.0,0.0,2019,Q2 2019,0.0,0.0,0.0838,0.0,0.0838,2019-04-01
4,Endeavor Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8011.0,3767698.0,0.0,2019,Q2 2019,0.0,0.0,0.21259999999999998,0.0,0.21259999999999998,2019-04-01
5,Envoy Air,5.0,96.0,0.0,428.0,8.0,537.0,529.0,4439.0,3751462.0,0.0,2019,Q2 2019,101.0,436.0,0.1326,0.0143,0.1183,2019-04-01
6,ExpressJet Airlines,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1522.0,1257349.0,0.0,2019,Q2 2019,1.0,0.0,0.1211,9.999999999999999e-05,0.121,2019-04-01
7,Frontier Airlines,0.0,96.0,0.0,82.0,6.0,184.0,98.0,838.0,5128189.0,1852.0,2019,Q2 2019,96.0,88.0,0.0199,0.0036,0.016300000000000002,2019-04-01
8,Hawaiian Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,2742590.0,0.0,2019,Q2 2019,0.0,0.0,0.0014,0.0,0.0014,2019-04-01
